final_book_title,authorLabel,genreLabel,final_publisher,release_year
28 000 km pour une orchidée,Georges Jougla,narrative,Fournel Editions,
A Dictionary of Arabic Grammar from the Holy Quran,"Daḥdāḥ, Anṭwān",non-fiction,Dār Al-Kitāb Al-Aʿrabī,
a prayer for the crown-shy,,,reactor (magazine),2022
a psalm for the wild-built,,,tor books,2021
a psalm for the wild-built,,,tor books,2021
"Aimé Césaire's African Theater: Of Poets, Prophets, and Politicians",Femi Ojo Ade,essay,Africa World Press,
American Salvage,Bonnie Jo Campbell,high literature,Wayne State University Press,
Amphora. The Porcelain and Ceramics Manufactory in Northern Bohemia,Volker Mölle Riessner,non-fiction literature,Books on Demand,
An Unfinished Dream: A Chronicle of the Group Plan of The Claremont Colleges,Robert J. Bernard,history book,Claremont Colleges,
axiomatic (short story collection),,,orion publishing group,1995
Bacchae of Euripides: a communion rite.,Wole Soyinka,The Tragedies of Euripides,Methuen Publishing,
Bacchae of Euripides: a communion rite.,Wole Soyinka,The Tragedies of Euripides,W. W. Norton & Company,
beautiful creatures (novel),,,"little, brown and company",2009
beautiful creatures (novel),,,"little, brown and company",2009
beautiful creatures (novel),,,"little, brown and company",2009
beautiful creatures (novel),,,"little, brown and company",2009
beautiful creatures (novel),,,"little, brown and company",2009
beautiful creatures (novel),,,"little, brown and company",2009
beautiful darkness,,,"little, brown and company",2010
beautiful darkness,,,"little, brown and company",2010
beautiful darkness,,,"little, brown and company",2010
beautiful darkness,,,"little, brown and company",2010
beautiful darkness,,,"little, brown and company",2010
beautiful darkness,,,"little, brown and company",2010
betrayal: the final act of the trump show,,,e. p. dutton,2021
bone gap (novel),,,harpercollins,2015
bone gap (novel),,,harpercollins,2015
Cajarc en Quercy : un village occitan à l'épreuve de l'Histoire,Bernard Connac,history book,Toute latitude,
code of honor (gratz novel),,,scholastic corporation,2015
code of honor (gratz novel),,,scholastic corporation,2015
Concise German-Arabic dictionary,Ernst Harder,bilingual dictionary,Carl Winter's Universiy library,
Consecrated Ground,George Boyd,tragedy,Talonbooks,
Consecrated Ground,George Boyd,drama fiction,Talonbooks,
"Criminals, idiots, women and minors",Frances Power Cobbe,essay,A. Ireland and Co.,
Dictionary of disaster and emergency termminology,Ibrahim El-Tikaina,bilingual dictionary,Naif Arab University for Security Sciences,
divergent (novel),,,harpercollins,2011
divergent (novel),,,harpercollins,2011
divergent (novel),,,harpercollins,2011
eat a peach (autobiography),,,crown publishing group,2020
elatsoe,,,levine querido,2020
"Estoril, los años dorados.",Ricardo Mateos Sáinz de Medrano,history book,La Esfera de los Libros,
fatal legacy,,,hodder & stoughton,2023
fatal legacy,,,hodder & stoughton,2023
Feuilles de Momidzi,Léon de Rosny,essay,Ernest Leroux,
Feuilles de Momidzi,Léon de Rosny,non-fiction,Ernest Leroux,
firewalkers (novella),,,solaris books,2020
firewalkers (novella),,,solaris books,2020
"friends, lovers, and the big terrible thing",,,macmillan publishers,2022
From Alchemy to Quarks The Study of Physics as a Liberal Art),Sheldon Glashow,popular science literature,Brooks/Cole Publishing,
From Scratch,Tembi Locke,memoir,Simon & Schuster,
front row at the trump show,,,e. p. dutton,2020
Gareth Jones: The Man Who Knew Too Much,Mirosław Wlekły,biography,Znak,
"Golden Gulag: Prisons, Surplus, Crisis, and Opposition in Globalizing California",Ruth Wilson Gilmore,non-fiction,University of California Press,
great big beautiful life,,,berkley books,2025
great big beautiful life,,,berkley books,2025
great big beautiful life,,,berkley books,2025
harmattan season,,,tor books,2025
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
heat 2,,,harpercollins,2022
HRABI Duszkiem tak!,Dariusz Kamys,biography,Wydawnictwo Otwarte,
i'm so glad we had this time together,,,pantheon books,2024
i'm so glad we had this time together,,,pantheon books,2024
indians on vacation,,,harpercollins,2020
insurgent (novel),,,harpercollins,2012
insurgent (novel),,,harpercollins,2012
insurgent (novel),,,harpercollins,2012
insurgent (novel),,,harpercollins,2012
"Irene, mijn grootmoeder. De neergang van een Weens-Joodse familie",Paul Hellmann,biography,Atlas Contact,
kissing the witch,,,hamish hamilton ltd.,1999
kissing the witch,,,hamish hamilton ltd.,1999
kissing the witch,,,harpercollins,1999
kissing the witch,,,harpercollins,1999
Klinická neurologie část speciální,Josef Bednařík,scientific publication,Triton,
Klinická neurologie část speciální,Evžen Růžička,scientific publication,Triton,
Klinická neurologie část speciální,Zdeněk Ambler,scientific publication,Triton,
L'apocalypse durable,Fred Dubé,polemical lampoon,Lux Éditeur,
L'apocalypse durable,Fred Dubé,essay,Lux Éditeur,
La contessa Lara,Maria Freschi,biography,Fratelli Treves,
La Danse 1/ Du ballet de cour au ballet blanc,Jean-Pierre Pastori,monograph,Éditions Gallimard,
La Danse 1/ Du ballet de cour au ballet blanc,Jean-Pierre Pastori,non-fiction,Éditions Gallimard,
La IIIe révolution dite française,Philippe Ploncard d'Assac,essay,Société de Philosophie Politique,
"La politique québécoise: élections, scandales et réformes - 1950-1990",Jean-Charles Panneton,essay,Éditions du Septentrion,
"La politique québécoise: élections, scandales et réformes - 1950-1990",Jean-Charles Panneton,non-fiction,Éditions du Septentrion,
Le Prieuré Notre-Dame-du-Val-Paradis: mille ans d’histoire à Espagnac-Sainte-Eulalie,Christian Thiry,history book,Edicausse,
"Le Québec, pour quoi faire ?",Pascal Mallet,history book,Éditions Grasset,
Let us dream,Pope Francis,essay,Edizioni Piemme,
Lost spy and the green dress,Alex Paz-Goldman,detective fiction,Kinneret Zmora-Bitan Dvir,
Lost spy and the green dress,Alex Paz-Goldman,young adult literature,Kinneret Zmora-Bitan Dvir,
Madmen and specialists: a play,Wole Soyinka,drama,"Farrar, Straus and Giroux",
Madmen and specialists: a play,Wole Soyinka,drama,Hill & Wang,
malaparte: a biography,,,éditions grasset,2011
malaparte: a biography,,,éditions grasset,2025
March Book One,Andrew Aydin,autobiography,Top Shelf Productions,
March Book One,John Lewis,autobiography,Top Shelf Productions,
March Book One,John Lewis,memoir,Top Shelf Productions,
March Book Three,Andrew Aydin,autobiography,Top Shelf Productions,
March Book Three,John Lewis,autobiography,Top Shelf Productions,
March Book Three,John Lewis,memoir,Top Shelf Productions,
March Book Two,Andrew Aydin,autobiography,Top Shelf Productions,
March Book Two,John Lewis,autobiography,Top Shelf Productions,
March Book Two,John Lewis,memoir,Top Shelf Productions,
meantime (book),,,john murray (publishing house),2022
Monumental mountaintops,Carl C. Fickenscher II,devotional literature,Concordia Publishing House,
"Mothers, tell your daughters.",Bonnie Jo Campbell,high literature,W. W. Norton & Company,
Mummers in Mufti,Philip Everett Curtiss,mystery fiction,The Century Company,
Mummers in Mufti,Philip Everett Curtiss,romance,The Century Company,
mʿǧm mṣṭlḥāt al-ʿlāqāt al-ʿāmẗ,Bassām Mashāqibah,bilingual dictionary,Dār Usāmah lil-Nashr wa-al-Tawzīʻ,
mʿǧm mṣṭlḥāt al-ʿlāqāt al-ʿāmẗ,Bassām Mashāqibah,bilingual dictionary,Nubalāʼ Nāshirūn wa-Muwazziʻūn,
Neo-Colonialism: The Last Stage of Imperialism,Kwame Nkrumah,non-fiction,Brill,
Neo-Colonialism: The Last Stage of Imperialism,Kwame Nkrumah,non-fiction,International Publishers,
Neo-Colonialism: The Last Stage of Imperialism,Kwame Nkrumah,non-fiction,Panaf Books,
Neo-Colonialism: The Last Stage of Imperialism,Kwame Nkrumah,non-fiction,Présence Africaine,
Neo-Colonialism: The Last Stage of Imperialism,Kwame Nkrumah,non-fiction,Thomas Nelson and Sons Ltd,
Nesivos HaMishpat,Yaakov Lorberbaum,Halakha,Zhovkva,
Nonna and the Girls Next Door,Gianna Patriarca,children's literature,Lyricalmyrical Press,
north woods (novel),,,john murray (publishing house),2023
north woods (novel),,,random house,2023
När människorna kom,Sonja Hulth,children's literature,Rabén & Sjögren,
När svenskarna flyttade till stan,Sonja Hulth,children's literature,Rabén & Sjögren,
När Sverige var som störst,Sonja Hulth,children's literature,Rabén & Sjögren,
once upon a time in hollywood (novel),,,harper perennial,2021
once upon a time in hollywood (novel),,,harper perennial,2021
once upon a time in hollywood (novel),,,harpercollins,2021
once upon a time in hollywood (novel),,,harpercollins,2021
online caroline,,,freeserve,2000
online caroline,,,freeserve,2000
pan tadeusz,,,aleksander jełowicki,1834
poems & prayers,,,crown publishing group,2025
Pop Expressionism: Works on Paper by Phillip-Rudolf Humm,Edward Lucie-Smith,biography,Unicorn Publishing Group,
pursuit (oates novel),,,mysterious press,2019
pursuit (oates novel),,,mysterious press,2019
Q Road,Bonnie Jo Campbell,high literature,Charles Scribner's Sons,
qāmūs ʿrbī aḏrī,Rafik Aliyev,bilingual dictionary,Sharg-Garb,
rising sun (conroy novel),,,baen books,2012
Salvatore Garau 1993/2015 Papers and canvases,Lóránd Hegyi,contemporary art,embassy of Italy in Brazil,
Salvatore Garau 1993/2015 Papers and canvases,Lóránd Hegyi,contemporary art,National Museum of the Brazilian Republic,
Salvatore Garau Red Wagner,Lóránd Hegyi,art,Corraini edizioni,
Salvatore Garau Red Wagner,Lóránd Hegyi,contemporary art,Corraini edizioni,
Salvatore Garau. Change in black and white; accompanied by a little water and a little silver,Salvatore Garau,black-and-white,Corraini edizioni,
Salvatore Garau. Change in black and white; accompanied by a little water and a little silver,Salvatore Garau,contemporary art,Corraini edizioni,
"Se där, en stad!",Sonja Hulth,children's literature,Rabén & Sjögren,
Sign Language Dictionary,mḥmd ʿlī kāml,sign language dictionary,Dār al-Ṭalāʼiʻ lil-Nashr wa-al-Tawzīʻ,
Sign Language Dictionary,mḥmd ʿlī kāml,bilingual dictionary,Dār al-Ṭalāʼiʻ lil-Nashr wa-al-Tawzīʻ,
Sir Gawain and the Green Knight,J. R. R. Tolkien,essay,Clarendon Press,
sonic life: a memoir,,,faber & faber,2023
Sous le fardeau,J.-H. Rosny,social novel,Plon,
star wars: into the dark,,,disney publishing worldwide,2021
star wars: the fallen star,,,del rey books,2022
Stations,Clare McCallan,poetry,"Blurb, Inc.",
Stations,Clare McCallan,visual arts,"Blurb, Inc.",
stone blind,,,harpercollins,2022
stone blind,,,harpercollins,2022
stone blind,,,harpercollins,2022
stone blind,,,pan books,2022
stone blind,,,pan books,2022
stone blind,,,pan books,2022
Su pianeta 'e Supramonte,Peppino Marotto,poetry,Condaghes,
Tamil Chamugathil Vaimolik kathaikal,Stephen. G,folklore,Pavai Publications,
the accidental universe,,,pantheon books,2014
The birth of complexity,Alexander Markov,natural science,2011,
the book of elsewhere,,,boom! studios,2024
the book of elsewhere,,,boom! studios,2024
the book of elsewhere,,,del rey books,2024
the book of elsewhere,,,del rey books,2024
the grace kelly dress,,,harlequin enterprises,2020
The grasshoppers (Acrididae) of New Zealand : Their taxonomy and distribution.,Robert Sidney Bigelow,natural science,University of Canterbury,
The Holy Eye: Ideology in Religions and Television,Julio Escoto,non-fiction,Editorial Universitaria,
The Last Faust,Philipp Humm,science fiction,Unicorn Publishing Group,
The Last Faust,Philipp Humm,drama,Unicorn Publishing Group,
the lesbiana's guide to catholic school,,,harpercollins,2022
the man who wasn't maigret,,,bloomsbury publishing,1992
the mare,,,pantheon books,2015
the nigerwife,,,atria publishing group,2023
the nigerwife,,,atria publishing group,2023
the paper magician,,,47north,2014
The Public Domain Song Anthology,Chuck Israels,sheet music,Aperio Press,
The Public Domain Song Anthology,Chuck Israels,song book,Aperio Press,
the wicker man: the official story of the film,,,titan publishing group,2023
Thea Bowman: Faithful and Free,Maurice J. Nutt,biography,Liturgical Press,
theory of bastards,,,europa editions,2018
tired of winning (book),,,e. p. dutton,2023
trombone shorty (book),,,abrams books,2015
Une pipée d'opium pour les enfants,Fred Dubé,polemical lampoon,Lux Éditeur,
upright women wanted,,,reactor (magazine),2020
upright women wanted,,,reactor (magazine),2020
Vers Tombouctou : L'Afrique des explorateurs II,Anne Hugon,non-fiction,Éditions Gallimard,
Vers Tombouctou : L'Afrique des explorateurs II,Anne Hugon,monograph,Éditions Gallimard,
Victorina o heroísmo del corazón: original novel. Volume I,Concepción Gimeno de Flaquer,facsimile,Asociación General del Arte de Imprimir,
"Who's in Charge? Leadership During Epidemics, Bioterror, Attacks, and Other Public Health Crises",Laura H Kahn,public health,Greenwood Publishing Group,
Witness: we share our faith,Klaus Detlev Schulz,devotional literature,Concordia Publishing House,
Women & other animals,Bonnie Jo Campbell,high literature,Simon & Schuster,
WORD ROW,Noam Dovev,poetry,gnat,
¡vamos! let's go eat,,,houghton mifflin harcourt,2020
¡vamos! let's go eat,,,houghton mifflin harcourt,2020
